,date1,date2,result_dx,result_dy,xcount_x,xcount_y
0,2015-02-24,2015-03-28,1.5202147235019838,3.429467376736923,1.9672272556868566,2.3793443882148813
1,2015-03-28,2015-04-05,0.33257040670785193,-2.0835895843507006,4.6150836168223455,2.9642617256993056
2,2015-04-05,2015-04-06,0.038260802302360265,-0.44070514291916385,7.540057760385095,5.717094363935679
3,2015-04-06,2015-04-13,0.20163954298676467,-3.252621490521843,11.993986409137792,8.878029751902597
4,2015-04-13,2015-04-14,0.026942572281649188,-0.287612161943907,15.210680495300027,11.770353181360488
5,2015-04-14,2015-04-21,0.14050415037654126,-1.6538306417063182,15.210680495300027,11.770353181360488
6,2015-04-21,2015-04-22,0.015035509042181277,-0.37393433552194605,17.708541723910475,12.888164533390588
7,2015-04-22,2015-04-29,0.2707789993209303,-4.292431580159204,21.41909804746706,15.311798280320575
8,2015-04-29,2015-04-30,0.05516382398145578,-0.752742279739516,24.740448363268428,18.80288501168738
9,2015-04-30,2015-05-15,0.8096265625313505,-10.476117815042334,26.944447534978853,20.647902405903494
10,2015-05-15,2015-06-01,0.7317772873689884,-8.435677580850578,26.944447534978853,20.685637899162824
11,2015-06-01,2015-06-25,0.6679582994835735,-5.5590877179243225,27.106887191144967,20.685637899162824
12,2015-06-25,2015-07-18,-0.14614568948642112,-0.23978483730881817,27.502207425162517,20.685637899162824
13,2015-07-18,2015-08-03,-0.9124154032318993,0.33246221758982963,29.090733606930453,20.685637899162824
14,2015-08-03,2015-09-13,-0.8415715953433175,2.213740647970908,31.947588190865446,20.685637899162824
15,2015-09-13,2015-10-06,-0.8466607719946505,1.1696030100184043,33.98198842220263,20.685637899162824
16,2015-10-06,2015-10-14,-0.22300391520525686,0.3445477524183642,35.61016318285835,21.58068826092535
17,2015-10-14,2015-10-22,-0.1781220425692878,0.23696005919049296,38.55054723952238,21.85139435336111
18,2015-10-22,2015-11-16,-0.5402457270165907,0.7482202853638235,39.33675197202483,22.048055545190316
19,2015-11-16,2015-12-02,-0.2245039520681423,-0.35212114278979867,42.793215665935755,25.316816947790166
20,2015-12-02,2015-12-18,-0.1436119652595174,-0.8896449563530396,43.388096341853554,25.67620033895906
21,2015-12-18,2016-01-03,-0.04922880720597642,-0.586770529798384,43.98019871432754,26.298366013295677
22,2016-01-03,2016-01-10,-0.026252652513196747,-0.14546794741441565,46.59684449505802,28.50598507201951
23,2016-01-10,2016-02-05,-0.2949145965277005,-1.259823995590281,50.06720561322121,31.948153625649002
24,2016-02-05,2016-02-18,-0.05228289948728491,-0.5425317901410809,55.338523591462234,37.38947122289993
25,2016-02-18,2016-02-27,0.21733008898115294,-0.42356534584081323,59.281906978190264,44.29571324181201
26,2016-02-27,2016-03-02,0.0530643264065519,-0.2665544864477642,60.8544404513166,47.69171945257262
27,2016-03-02,2016-03-07,0.11466604236625132,-0.332765430980753,60.8544404513166,47.69171945257262
28,2016-03-07,2016-03-14,0.2724179756316355,-0.38598719862084,62.53869226956174,48.42387330018084
29,2016-03-14,2016-03-15,0.05429647124688022,-0.057516570801690266,64.09704082304407,50.73909742596292
30,2016-03-15,2016-03-26,0.8036113020871852,-1.0883840482737834,65.43812750909812,52.1763414653889
31,2016-03-26,2016-03-30,0.21718801850587072,-0.2835781465538564,65.43812750909812,52.1763414653889
32,2016-03-30,2016-03-31,0.05554047623520579,-0.06853094849120357,64.85039072922794,51.8327549119203
33,2016-03-31,2016-04-08,0.46390449050631033,-0.5317895263054695,64.4122001836363,54.07558503663897
34,2016-04-08,2016-04-18,0.5703596935796227,-0.671699426990028,64.99057165582599,55.45347641554823
35,2016-04-18,2016-04-24,0.2961182958414353,-0.3499159757881354,72.03588595951436,63.74153944804503
36,2016-04-24,2016-05-10,0.7273130808413437,-0.7603782865136836,70.94530695081504,64.76349522378828
37,2016-05-10,2016-05-18,0.4435137874750429,-0.26039070431797506,70.13302241819781,66.24319954927613
38,2016-05-18,2016-06-07,0.6077825589708414,-0.9128916933476637,71.07154156322731,68.13693163881408
39,2016-06-07,2016-06-10,-0.0002731435327446543,-0.3186431883522232,71.110970231257,71.72172685058986
40,2016-06-10,2016-06-18,-0.20155666901010802,-1.4431537171908357,71.10524361906126,73.30942280097408
41,2016-06-18,2016-07-04,-0.26855818889647004,-1.2517537527049527,70.7327201602233,75.35165301212739
42,2016-07-04,2016-07-17,-0.4207413669455583,-1.1512289699695915,70.31435174510275,79.56835279373807
43,2016-07-17,2016-08-21,-1.3524726108174008,-3.6476828643496737,74.84362057482225,84.3548702365445
44,2016-08-21,2016-08-26,-0.2361752475493159,-0.5406948990540014,73.9863803580278,86.97267995831015
45,2016-08-26,2016-09-23,-1.571391812533161,-3.4207918645003477,77.27603248088137,90.41245378742744
46,2016-09-23,2016-09-30,-0.3240072044718175,-0.8447368161960798,77.1265071401282,91.29325909768797
47,2016-09-30,2016-10-01,-0.04435244185968923,-0.10941498732798079,78.2071813033788,93.81735094393233
48,2016-10-01,2016-10-08,-0.31807250320747443,-0.7228296405715569,77.75457007380504,94.30259134218012
49,2016-10-08,2016-10-09,-0.03779627546453876,-0.10015077303235148,77.24514440706476,96.09232945263854
50,2016-10-09,2016-10-12,-0.08705881838044344,-0.2934750832786604,77.27105885090981,96.89493868770995
51,2016-10-12,2016-10-24,-0.25021756721598504,-1.1608841924023718,84.5945953123528,106.52686714801999
52,2016-10-24,2016-10-25,-0.01733509873555766,-0.0936707019702448,84.22547242351007,106.19412525105187
53,2016-10-25,2016-11-01,-0.09802444164221823,-0.585259256859492,94.35919795126073,115.56293829152936
