,date1,date2,vx,vy,xcount_x,xcount_y
0,2015-02-14,2015-03-16,17.052273415359075,37.78031153206269,28.075282691450845,25.60538244090466
1,2015-02-19,2015-03-21,16.012959131912602,35.360676579230116,26.35683241158594,24.022221131160748
2,2015-02-24,2015-03-26,14.836630784059306,24.860346757608383,10.542862969263659,9.568114103566717
3,2015-03-01,2015-03-31,13.526434695478871,6.1914692231049875,-16.340379007501653,-15.101251560803325
4,2015-03-06,2015-04-05,12.132595514539865,-22.04834772071992,-5.985030678925815,-7.59324134554425
5,2015-03-11,2015-04-10,10.509027061499216,-59.35365531186643,-2.102037609323059,-4.033806485865764
6,2015-03-16,2015-04-15,9.005151590324896,-86.56271427155681,56.16955598806233,43.0524413018015
7,2015-03-21,2015-04-20,7.548951459638763,-101.82888090230084,54.83017583194291,42.964895833650914
8,2015-03-26,2015-04-25,6.818530609069405,-125.0076717869716,112.76939881688014,87.20498716918593
9,2015-03-31,2015-04-30,8.176327924472583,-156.49794922863333,178.88690840280492,141.68549809917008
10,2015-04-05,2015-05-05,10.313345941246324,-180.64041480933054,243.47587076637672,191.25473388908284
11,2015-04-10,2015-05-10,12.792364032945214,-191.91211202381325,220.2321556997304,171.72851171546276
12,2015-04-15,2015-05-15,15.100343796042926,-207.17802500839468,119.35141335988475,91.08279976964455
13,2015-04-20,2015-05-20,17.188881140682337,-226.1826791498057,111.73573367285408,84.50785673403868
14,2015-04-25,2015-05-25,18.432228069292144,-227.74698688123496,78.7816941926146,61.145089142544364
15,2015-04-30,2015-05-30,17.56034973271737,-210.25529890329327,54.69542898071114,42.107159740426226
16,2015-05-05,2015-06-04,15.920833913402253,-186.82607746606047,-12.206126394274861,-9.569830274223762
17,2015-05-10,2015-06-09,14.085020930245543,-162.20698081135473,6.769467534344983,5.617848900249442
18,2015-05-15,2015-06-14,12.12697868304392,-137.30447226835537,48.29537723772518,38.27641804503264
19,2015-05-20,2015-06-19,10.075584980924459,-112.82756046217965,63.43171887437427,50.150367358464536
20,2015-05-25,2015-06-24,7.786939959721626,-88.70670669112423,59.85496979899017,46.8310029440851
21,2015-05-30,2015-06-29,5.084776298368799,-64.7909298260216,57.92404263793287,43.83489634107195
22,2015-06-04,2015-07-04,1.8795800817288157,-41.77533645075607,66.33549914525707,48.422782136143724
23,2015-06-09,2015-07-09,-1.7815168421243992,-20.87229216725878,77.15164468731913,55.50563748706651
24,2015-06-14,2015-07-14,-5.773631691372643,-3.4054760278809137,73.35938130025303,53.11426368630188
25,2015-06-19,2015-07-19,-9.969061561990024,9.301407583183543,37.8212923132954,29.177432194748718
26,2015-06-24,2015-07-24,-14.0653201793517,16.516672870555034,-23.58941448541347,-12.574536357365957
27,2015-06-29,2015-07-29,-17.380783445852828,18.94270010587526,-52.18813397345602,-32.11953960532145
28,2015-07-04,2015-08-03,-19.261080484524264,18.297169547484312,28.532793018590326,22.994732399701434
29,2015-07-09,2015-08-08,-19.68790013801945,16.13949830351279,180.15672923404856,126.50842133026464
30,2015-07-14,2015-08-13,-19.299400381671447,13.33916521233283,278.3839789250786,193.27911682546025
31,2015-07-19,2015-08-18,-18.14497431150953,11.212555785457702,347.24218944204057,239.87558553374376
32,2015-07-24,2015-08-23,-16.440759308087078,10.490678289018854,389.56078257830745,268.30782252586914
33,2015-07-29,2015-08-28,-14.7928575363595,10.58366932636793,356.8294378203625,245.33047967876013
34,2015-08-03,2015-09-02,-13.860135952406404,10.722942908006827,193.59123104445263,132.92792987482608
35,2015-08-08,2015-09-07,-13.701266102395282,10.673132658697801,-35.811608168860175,-24.770083061320918
36,2015-08-13,2015-09-12,-13.718619571086345,10.890579135527876,-181.13079713804916,-124.73506891940144
37,2015-08-18,2015-09-17,-13.891984521280902,11.368880923550059,-242.36959570039568,-166.97565417737837
38,2015-08-23,2015-09-22,-14.119223963079886,11.998601128235844,-234.76251546448992,-161.99190110665455
39,2015-08-28,2015-09-27,-14.257878668486459,12.627098717925518,-179.55843761252117,-124.42914795915055
40,2015-09-02,2015-10-02,-14.165299210267346,13.101528867859361,-98.03461299447702,-68.95228617537356
41,2015-09-07,2015-10-07,-13.698826839040208,13.268295626061237,-11.450940179512145,-10.21454114355788
42,2015-09-12,2015-10-12,-12.71382650980936,12.814564070697008,62.61136580002159,39.6040648299836
43,2015-09-17,2015-10-17,-11.090941466420524,11.14829236973964,115.96647146627151,74.70174353420299
44,2015-09-22,2015-10-22,-9.062257587189423,8.668928682366637,145.56260767512407,93.4182911712897
45,2015-09-27,2015-10-27,-7.040026179615847,6.316552875454076,149.62592259301414,95.27383828636454
46,2015-10-02,2015-11-01,-5.194267662397589,4.135625118553951,136.209267212771,85.8571500868049
47,2015-10-07,2015-11-06,-3.633109103316292,1.9427316873290223,115.84423509301376,72.28657481461823
48,2015-10-12,2015-11-11,-2.466653865766982,-0.2863021726994326,95.38373625556011,59.20725762989042
49,2015-10-17,2015-11-16,-1.7918997754271222,-2.2834015474383724,74.100957906926,46.13751366703224
50,2015-10-22,2015-11-21,-1.4486700440672302,-4.611413523293634,58.624742045931725,37.09971225155488
51,2015-10-27,2015-11-26,-1.1541598195231548,-8.073917339011247,56.603847961044494,36.66908595665194
52,2015-11-01,2015-12-01,-0.872289119457017,-12.51449488835649,64.95956803878641,42.76876628437208
53,2015-11-06,2015-12-06,-0.62408674564563,-17.517789600285713,78.16175783980259,51.809166078218084
54,2015-11-11,2015-12-11,-0.39515166434082144,-22.4444096088831,91.01032360931481,60.41155587877296
